closed,_id,org,repo,number,amount,cost,tokenAddress,timestamp,address,signature,__v
false,6280caaa13e85100095a8520,commons-stack,commonsprize,23,45,2025,0x0y0c0ntract0,2022-05-15T09:40:51.981Z,0x0wallet1
false,6280cacf13e85100095a8521,commons-stack,commonsprize,12,60,3600,0x0y0c0ntract0,2022-05-15T09:41:27.786Z,0x0wallet1
false,6280ccd70fb9d700093364a0,commons-stack,commonsprize,20,20,400,0x0y0c0ntract0,2022-05-15T09:50:08.561Z,0x0wallet1
false,6280d17807af9f00098f5fd8,commons-stack,commonsprize,12,9,81,0x0y0c0ntract0,2022-05-15T10:09:55.747Z,0x0wallet2
false,6280d1fe07af9f00098f5fd9,commons-stack,commonsprize,20,1,1,0x0y0c0ntract0,2022-05-15T10:12:09.948Z,0x0wallet2
false,6280d24b07af9f00098f5fda,commons-stack,commonsprize,20,2,8,0x0y0c0ntract0,2022-05-15T10:13:26.820Z,0x0wallet2
false,6280d25c07af9f00098f5fdb,commons-stack,commonsprize,33,2,4,0x0y0c0ntract0,2022-05-15T10:13:44.651Z,0x0wallet2
false,6280d3a3c661970009a709f9,commons-stack,commonsprize,32,10,100,0x0y0c0ntract0,2022-05-15T10:19:05.949Z,0x0wallet3
false,6280d3b8c661970009a709fa,commons-stack,commonsprize,33,2,12,0x0y0c0ntract0,2022-05-15T10:19:31.761Z,0x0wallet2
false,6280d3d9c661970009a709fb,commons-stack,commonsprize,28,5,25,0x0y0c0ntract0,2022-05-15T10:20:04.555Z,0x0wallet2
false,6280d3f5c661970009a709fc,commons-stack,commonsprize,18,10,100,0x0y0c0ntract0,2022-05-15T10:20:28.298Z,0x0wallet3
false,6280d405c661970009a709fd,commons-stack,commonsprize,28,1,11,0x0y0c0ntract0,2022-05-15T10:20:49.903Z,0x0wallet2
false,6280d411c661970009a709fe,commons-stack,commonsprize,1,10,100,0x0y0c0ntract0,2022-05-15T10:20:55.199Z,0x0wallet3
false,6280d8100ca2ce00095c83e9,commons-stack,commonsprize,18,14,196,0x0y0c0ntract0,2022-05-15T10:38:03.641Z,0x0walletB
false,6280d96ddc96e30009eaaf57,commons-stack,commonsprize,31,10,100,0x0y0c0ntract0,2022-05-15T10:43:47.444Z,0x0wallet3
false,6280dafa25b29c0009ced0e1,commons-stack,commonsprize,32,15,525,0x0y0c0ntract0,2022-05-15T10:50:24.848Z,0x0wallet3
false,6280db0c25b29c0009ced0e2,commons-stack,commonsprize,33,42,1764,0x0y0c0ntract0,2022-05-15T10:50:43.245Z,0x0wallet4
false,6280db219d77a40009a4b3cb,commons-stack,commonsprize,12,77,5929,0x0y0c0ntract0,2022-05-15T10:51:03.336Z,0x0wallet5
false,6280e3b82f84960009d4dc5a,commons-stack,commonsprize,23,2,4,0x0y0c0ntract0,2022-05-15T11:27:42.577Z,0x0wallet6
